Source_Column,Scenario,Target_Column,Derivation_Logic,Notes
Component Description,JSON scalar extract,Component Description_json_val,"JSON_VALUE(CAST(Component Description AS STRING), '$.value')",Read scalar from JSON
Component Description,Digits only,Component Description_digits,"REGEXP_REPLACE(CAST(Component Description AS STRING), r'[^0-9]', '')",Strip non-digits
Component Description,Duplicate flag,Component Description_dup_flag,"IF(ROW_NUMBER() OVER (PARTITION BY Scenario_ID, Component Description ORDER BY Component Description) > 1, 1, 0)",Duplicate detector
Component Description,Winsorize (P5/P95),Component Description_winsor,"LEAST(PERCENTILE_CONT(SAFE_CAST(Component Description AS NUMERIC), 0.95) OVER (PARTITION BY Scenario_ID), GREATEST(PERCENTILE_CONT(SAFE_CAST(Component Description AS NUMERIC), 0.05) OVER (PARTITION BY Scenario_ID), SAFE_CAST(Component Description AS NUMERIC)))",Winsorize by group
Component Description,Lookup latest (scalar subquery),Component Description_latest_dim,(SELECT AS VALUE d.lookup_val FROM `project.dataset.dim_lookup` d WHERE d.key = CAST(Component Description AS STRING) ORDER BY d.eff_dt DESC LIMIT 1),Scalar subquery lookup
Scenario_ID,Safe cast numeric,Scenario_ID_num,"COALESCE(SAFE_CAST(Scenario_ID AS NUMERIC), 0)",Type safety; numeric fallback 0
Scenario_ID,Trim & collapse blanks,Scenario_ID_trim,"NULLIF(REGEXP_REPLACE(TRIM(CAST(Scenario_ID AS STRING)), r'\s+', ' '), '')",Text normalization
Scenario_ID,Upper normalize,Scenario_ID_upper,UPPER(CAST(Scenario_ID AS STRING)),Case normalization
Scenario_ID,Numeric bucket,Scenario_ID_bucket,CASE WHEN SAFE_CAST(Scenario_ID AS NUMERIC) IS NULL THEN 'UNKNOWN' WHEN SAFE_CAST(Scenario_ID AS NUMERIC) < 0 THEN 'NEG' WHEN SAFE_CAST(Scenario_ID AS NUMERIC) < 100 THEN 'LOW' WHEN SAFE_CAST(Scenario_ID AS NUMERIC) < 1000 THEN 'MED' ELSE 'HIGH' END,Binning
Scenario_ID,Month start,Scenario_ID_month_start,"DATE_TRUNC(SAFE_CAST(Scenario_ID AS DATE), MONTH)",Date truncation
Scenario_ID,Quarter label,Scenario_ID_qtr_label,"FORMAT_DATE('Q%q-%Y', SAFE_CAST(Scenario_ID AS DATE))",Presentation label
Scenario_ID,Safe ratio,Scenario_ID_ratio_to_Component,"SAFE_DIVIDE(SAFE_CAST(Scenario_ID AS NUMERIC), NULLIF(SAFE_CAST(Component AS NUMERIC), 0))",Ratio with zero protection
Scenario_ID,Row fingerprint (col),Scenario_ID_fp,TO_HEX(FARM_FINGERPRINT(CAST(Scenario_ID AS STRING))),Deterministic hash
Scenario_ID,Window lag delta,Scenario_ID_delta,SAFE_CAST(Scenario_ID AS NUMERIC) - LAG(SAFE_CAST(Scenario_ID AS NUMERIC)) OVER (PARTITION BY Scenario_ID ORDER BY Scenario_ID),Window: change vs previous
Scenario_ID,Rolling 30D sum,Scenario_ID_roll30,SUM(SAFE_CAST(Scenario_ID AS NUMERIC)) OVER (PARTITION BY Scenario_ID ORDER BY TXN_TIMESTAMP RANGE BETWEEN INTERVAL 30 DAY PRECEDING AND CURRENT ROW),Window: 30-day rolling sum
Scenario_ID,JSON scalar extract,Scenario_ID_json_val,"JSON_VALUE(CAST(Scenario_ID AS STRING), '$.value')",Read scalar from JSON
Scenario_ID,Digits only,Scenario_ID_digits,"REGEXP_REPLACE(CAST(Scenario_ID AS STRING), r'[^0-9]', '')",Strip non-digits
Scenario_ID,Duplicate flag,Scenario_ID_dup_flag,"IF(ROW_NUMBER() OVER (PARTITION BY Scenario_ID ORDER BY Scenario_ID) > 1, 1, 0)",Duplicate detector
Scenario_ID,Winsorize (P5/P95),Scenario_ID_winsor,"LEAST(PERCENTILE_CONT(SAFE_CAST(Scenario_ID AS NUMERIC), 0.95) OVER (PARTITION BY Scenario_ID), GREATEST(PERCENTILE_CONT(SAFE_CAST(Scenario_ID AS NUMERIC), 0.05) OVER (PARTITION BY Scenario_ID), SAFE_CAST(Scenario_ID AS NUMERIC)))",Winsorize by group
Scenario_ID,Lookup latest (scalar subquery),Scenario_ID_latest_dim,(SELECT AS VALUE d.lookup_val FROM `project.dataset.dim_lookup` d WHERE d.key = CAST(Scenario_ID AS STRING) ORDER BY d.eff_dt DESC LIMIT 1),Scalar subquery lookup
Scenario_Name,Safe cast numeric,Scenario_Name_num,"COALESCE(SAFE_CAST(Scenario_Name AS NUMERIC), 0)",Type safety; numeric fallback 0
Scenario_Name,Trim & collapse blanks,Scenario_Name_trim,"NULLIF(REGEXP_REPLACE(TRIM(CAST(Scenario_Name AS STRING)), r'\s+', ' '), '')",Text normalization
Scenario_Name,Upper normalize,Scenario_Name_upper,UPPER(CAST(Scenario_Name AS STRING)),Case normalization
Scenario_Name,Numeric bucket,Scenario_Name_bucket,CASE WHEN SAFE_CAST(Scenario_Name AS NUMERIC) IS NULL THEN 'UNKNOWN' WHEN SAFE_CAST(Scenario_Name AS NUMERIC) < 0 THEN 'NEG' WHEN SAFE_CAST(Scenario_Name AS NUMERIC) < 100 THEN 'LOW' WHEN SAFE_CAST(Scenario_Name AS NUMERIC) < 1000 THEN 'MED' ELSE 'HIGH' END,Binning
Scenario_Name,Month start,Scenario_Name_month_start,"DATE_TRUNC(SAFE_CAST(Scenario_Name AS DATE), MONTH)",Date truncation
Scenario_Name,Quarter label,Scenario_Name_qtr_label,"FORMAT_DATE('Q%q-%Y', SAFE_CAST(Scenario_Name AS DATE))",Presentation label
Scenario_Name,Safe ratio,Scenario_Name_ratio_to_Component,"SAFE_DIVIDE(SAFE_CAST(Scenario_Name AS NUMERIC), NULLIF(SAFE_CAST(Component AS NUMERIC), 0))",Ratio with zero protection
Scenario_Name,Row fingerprint (col),Scenario_Name_fp,TO_HEX(FARM_FINGERPRINT(CAST(Scenario_Name AS STRING))),Deterministic hash
Scenario_Name,Window lag delta,Scenario_Name_delta,SAFE_CAST(Scenario_Name AS NUMERIC) - LAG(SAFE_CAST(Scenario_Name AS NUMERIC)) OVER (PARTITION BY Scenario_ID ORDER BY Scenario_Name),Window: change vs previous
Scenario_Name,Rolling 30D sum,Scenario_Name_roll30,SUM(SAFE_CAST(Scenario_Name AS NUMERIC)) OVER (PARTITION BY Scenario_ID ORDER BY TXN_TIMESTAMP RANGE BETWEEN INTERVAL 30 DAY PRECEDING AND CURRENT ROW),Window: 30-day rolling sum
Scenario_Name,JSON scalar extract,Scenario_Name_json_val,"JSON_VALUE(CAST(Scenario_Name AS STRING), '$.value')",Read scalar from JSON
Scenario_Name,Digits only,Scenario_Name_digits,"REGEXP_REPLACE(CAST(Scenario_Name AS STRING), r'[^0-9]', '')",Strip non-digits
Scenario_Name,Duplicate flag,Scenario_Name_dup_flag,"IF(ROW_NUMBER() OVER (PARTITION BY Scenario_ID, Scenario_Name ORDER BY Scenario_Name) > 1, 1, 0)",Duplicate detector
Scenario_Name,Winsorize (P5/P95),Scenario_Name_winsor,"LEAST(PERCENTILE_CONT(SAFE_CAST(Scenario_Name AS NUMERIC), 0.95) OVER (PARTITION BY Scenario_ID), GREATEST(PERCENTILE_CONT(SAFE_CAST(Scenario_Name AS NUMERIC), 0.05) OVER (PARTITION BY Scenario_ID), SAFE_CAST(Scenario_Name AS NUMERIC)))",Winsorize by group
Scenario_Name,Lookup latest (scalar subquery),Scenario_Name_latest_dim,(SELECT AS VALUE d.lookup_val FROM `project.dataset.dim_lookup` d WHERE d.key = CAST(Scenario_Name AS STRING) ORDER BY d.eff_dt DESC LIMIT 1),Scalar subquery lookup
Description,Safe cast numeric,Description_num,"COALESCE(SAFE_CAST(Description AS NUMERIC), 0)",Type safety; numeric fallback 0
Description,Trim & collapse blanks,Description_trim,"NULLIF(REGEXP_REPLACE(TRIM(CAST(Description AS STRING)), r'\s+', ' '), '')",Text normalization
Description,Upper normalize,Description_upper,UPPER(CAST(Description AS STRING)),Case normalization
Description,Numeric bucket,Description_bucket,CASE WHEN SAFE_CAST(Description AS NUMERIC) IS NULL THEN 'UNKNOWN' WHEN SAFE_CAST(Description AS NUMERIC) < 0 THEN 'NEG' WHEN SAFE_CAST(Description AS NUMERIC) < 100 THEN 'LOW' WHEN SAFE_CAST(Description AS NUMERIC) < 1000 THEN 'MED' ELSE 'HIGH' END,Binning
Description,Month start,Description_month_start,"DATE_TRUNC(SAFE_CAST(Description AS DATE), MONTH)",Date truncation
Description,Quarter label,Description_qtr_label,"FORMAT_DATE('Q%q-%Y', SAFE_CAST(Description AS DATE))",Presentation label
Description,Safe ratio,Description_ratio_to_Component,"SAFE_DIVIDE(SAFE_CAST(Description AS NUMERIC), NULLIF(SAFE_CAST(Component AS NUMERIC), 0))",Ratio with zero protection
Description,Row fingerprint (col),Description_fp,TO_HEX(FARM_FINGERPRINT(CAST(Description AS STRING))),Deterministic hash
Description,Window lag delta,Description_delta,SAFE_CAST(Description AS NUMERIC) - LAG(SAFE_CAST(Description AS NUMERIC)) OVER (PARTITION BY Scenario_ID ORDER BY Description),Window: change vs previous
Description,Rolling 30D sum,Description_roll30,SUM(SAFE_CAST(Description AS NUMERIC)) OVER (PARTITION BY Scenario_ID ORDER BY TXN_TIMESTAMP RANGE BETWEEN INTERVAL 30 DAY PRECEDING AND CURRENT ROW),Window: 30-day rolling sum
Description,JSON scalar extract,Description_json_val,"JSON_VALUE(CAST(Description AS STRING), '$.value')",Read scalar from JSON
Description,Digits only,Description_digits,"REGEXP_REPLACE(CAST(Description AS STRING), r'[^0-9]', '')",Strip non-digits
Description,Duplicate flag,Description_dup_flag,"IF(ROW_NUMBER() OVER (PARTITION BY Scenario_ID, Description ORDER BY Description) > 1, 1, 0)",Duplicate detector
Description,Winsorize (P5/P95),Description_winsor,"LEAST(PERCENTILE_CONT(SAFE_CAST(Description AS NUMERIC), 0.95) OVER (PARTITION BY Scenario_ID), GREATEST(PERCENTILE_CONT(SAFE_CAST(Description AS NUMERIC), 0.05) OVER (PARTITION BY Scenario_ID), SAFE_CAST(Description AS NUMERIC)))",Winsorize by group
Description,Lookup latest (scalar subquery),Description_latest_dim,(SELECT AS VALUE d.lookup_val FROM `project.dataset.dim_lookup` d WHERE d.key = CAST(Description AS STRING) ORDER BY d.eff_dt DESC LIMIT 1),Scalar subquery lookup
Source_Project_Id,Safe cast numeric,Source_Project_Id_num,"COALESCE(SAFE_CAST(Source_Project_Id AS NUMERIC), 0)",Type safety; numeric fallback 0
Source_Project_Id,Trim & collapse blanks,Source_Project_Id_trim,"NULLIF(REGEXP_REPLACE(TRIM(CAST(Source_Project_Id AS STRING)), r'\s+', ' '), '')",Text normalization
Source_Project_Id,Upper normalize,Source_Project_Id_upper,UPPER(CAST(Source_Project_Id AS STRING)),Case normalization
Source_Project_Id,Numeric bucket,Source_Project_Id_bucket,CASE WHEN SAFE_CAST(Source_Project_Id AS NUMERIC) IS NULL THEN 'UNKNOWN' WHEN SAFE_CAST(Source_Project_Id AS NUMERIC) < 0 THEN 'NEG' WHEN SAFE_CAST(Source_Project_Id AS NUMERIC) < 100 THEN 'LOW' WHEN SAFE_CAST(Source_Project_Id AS NUMERIC) < 1000 THEN 'MED' ELSE 'HIGH' END,Binning
Source_Project_Id,Month start,Source_Project_Id_month_start,"DATE_TRUNC(SAFE_CAST(Source_Project_Id AS DATE), MONTH)",Date truncation
Source_Project_Id,Quarter label,Source_Project_Id_qtr_label,"FORMAT_DATE('Q%q-%Y', SAFE_CAST(Source_Project_Id AS DATE))",Presentation label
Source_Project_Id,Safe ratio,Source_Project_Id_ratio_to_Component,"SAFE_DIVIDE(SAFE_CAST(Source_Project_Id AS NUMERIC), NULLIF(SAFE_CAST(Component AS NUMERIC), 0))",Ratio with zero protection
Source_Project_Id,Row fingerprint (col),Source_Project_Id_fp,TO_HEX(FARM_FINGERPRINT(CAST(Source_Project_Id AS STRING))),Deterministic hash
Source_Project_Id,Window lag delta,Source_Project_Id_delta,SAFE_CAST(Source_Project_Id AS NUMERIC) - LAG(SAFE_CAST(Source_Project_Id AS NUMERIC)) OVER (PARTITION BY Scenario_ID ORDER BY Source_Project_Id),Window: change vs previous
Source_Project_Id,Rolling 30D sum,Source_Project_Id_roll30,SUM(SAFE_CAST(Source_Project_Id AS NUMERIC)) OVER (PARTITION BY Scenario_ID ORDER BY TXN_TIMESTAMP RANGE BETWEEN INTERVAL 30 DAY PRECEDING AND CURRENT ROW),Window: 30-day rolling sum
Source_Project_Id,JSON scalar extract,Source_Project_Id_json_val,"JSON_VALUE(CAST(Source_Project_Id AS STRING), '$.value')",Read scalar from JSON
Source_Project_Id,Digits only,Source_Project_Id_digits,"REGEXP_REPLACE(CAST(Source_Project_Id AS STRING), r'[^0-9]', '')",Strip non-digits
Source_Project_Id,Duplicate flag,Source_Project_Id_dup_flag,"IF(ROW_NUMBER() OVER (PARTITION BY Source_Project_Id, Scenario_ID ORDER BY Source_Project_Id) > 1, 1, 0)",Duplicate detector
Source_Project_Id,Winsorize (P5/P95),Source_Project_Id_winsor,"LEAST(PERCENTILE_CONT(SAFE_CAST(Source_Project_Id AS NUMERIC), 0.95) OVER (PARTITION BY Scenario_ID), GREATEST(PERCENTILE_CONT(SAFE_CAST(Source_Project_Id AS NUMERIC), 0.05) OVER (PARTITION BY Scenario_ID), SAFE_CAST(Source_Project_Id AS NUMERIC)))",Winsorize by group
Source_Project_Id,Lookup latest (scalar subquery),Source_Project_Id_latest_dim,(SELECT AS VALUE d.lookup_val FROM `project.dataset.dim_lookup` d WHERE d.key = CAST(Source_Project_Id AS STRING) ORDER BY d.eff_dt DESC LIMIT 1),Scalar subquery lookup
Source_Dataset_Id,Safe cast numeric,Source_Dataset_Id_num,"COALESCE(SAFE_CAST(Source_Dataset_Id AS NUMERIC), 0)",Type safety; numeric fallback 0
Source_Dataset_Id,Trim & collapse blanks,Source_Dataset_Id_trim,"NULLIF(REGEXP_REPLACE(TRIM(CAST(Source_Dataset_Id AS STRING)), r'\s+', ' '), '')",Text normalization
Source_Dataset_Id,Upper normalize,Source_Dataset_Id_upper,UPPER(CAST(Source_Dataset_Id AS STRING)),Case normalization
Source_Dataset_Id,Numeric bucket,Source_Dataset_Id_bucket,CASE WHEN SAFE_CAST(Source_Dataset_Id AS NUMERIC) IS NULL THEN 'UNKNOWN' WHEN SAFE_CAST(Source_Dataset_Id AS NUMERIC) < 0 THEN 'NEG' WHEN SAFE_CAST(Source_Dataset_Id AS NUMERIC) < 100 THEN 'LOW' WHEN SAFE_CAST(Source_Dataset_Id AS NUMERIC) < 1000 THEN 'MED' ELSE 'HIGH' END,Binning
Source_Dataset_Id,Month start,Source_Dataset_Id_month_start,"DATE_TRUNC(SAFE_CAST(Source_Dataset_Id AS DATE), MONTH)",Date truncation
Source_Dataset_Id,Quarter label,Source_Dataset_Id_qtr_label,"FORMAT_DATE('Q%q-%Y', SAFE_CAST(Source_Dataset_Id AS DATE))",Presentation label
Source_Dataset_Id,Safe ratio,Source_Dataset_Id_ratio_to_Component,"SAFE_DIVIDE(SAFE_CAST(Source_Dataset_Id AS NUMERIC), NULLIF(SAFE_CAST(Component AS NUMERIC), 0))",Ratio with zero protection
Source_Dataset_Id,Row fingerprint (col),Source_Dataset_Id_fp,TO_HEX(FARM_FINGERPRINT(CAST(Source_Dataset_Id AS STRING))),Deterministic hash
Source_Dataset_Id,Window lag delta,Source_Dataset_Id_delta,SAFE_CAST(Source_Dataset_Id AS NUMERIC) - LAG(SAFE_CAST(Source_Dataset_Id AS NUMERIC)) OVER (PARTITION BY Scenario_ID ORDER BY Source_Dataset_Id),Window: change vs previous
Source_Dataset_Id,Rolling 30D sum,Source_Dataset_Id_roll30,SUM(SAFE_CAST(Source_Dataset_Id AS NUMERIC)) OVER (PARTITION BY Scenario_ID ORDER BY TXN_TIMESTAMP RANGE BETWEEN INTERVAL 30 DAY PRECEDING AND CURRENT ROW),Window: 30-day rolling sum
Source_Dataset_Id,JSON scalar extract,Source_Dataset_Id_json_val,"JSON_VALUE(CAST(Source_Dataset_Id AS STRING), '$.value')",Read scalar from JSON
Source_Dataset_Id,Digits only,Source_Dataset_Id_digits,"REGEXP_REPLACE(CAST(Source_Dataset_Id AS STRING), r'[^0-9]', '')",Strip non-digits
Source_Dataset_Id,Duplicate flag,Source_Dataset_Id_dup_flag,"IF(ROW_NUMBER() OVER (PARTITION BY Source_Dataset_Id, Scenario_ID ORDER BY Source_Dataset_Id) > 1, 1, 0)",Duplicate detector
Source_Dataset_Id,Winsorize (P5/P95),Source_Dataset_Id_winsor,"LEAST(PERCENTILE_CONT(SAFE_CAST(Source_Dataset_Id AS NUMERIC), 0.95) OVER (PARTITION BY Scenario_ID), GREATEST(PERCENTILE_CONT(SAFE_CAST(Source_Dataset_Id AS NUMERIC), 0.05) OVER (PARTITION BY Scenario_ID), SAFE_CAST(Source_Dataset_Id AS NUMERIC)))",Winsorize by group
Source_Dataset_Id,Lookup latest (scalar subquery),Source_Dataset_Id_latest_dim,(SELECT AS VALUE d.lookup_val FROM `project.dataset.dim_lookup` d WHERE d.key = CAST(Source_Dataset_Id AS STRING) ORDER BY d.eff_dt DESC LIMIT 1),Scalar subquery lookup
Source_Table,Safe cast numeric,Source_Table_num,"COALESCE(SAFE_CAST(Source_Table AS NUMERIC), 0)",Type safety; numeric fallback 0
Source_Table,Trim & collapse blanks,Source_Table_trim,"NULLIF(REGEXP_REPLACE(TRIM(CAST(Source_Table AS STRING)), r'\s+', ' '), '')",Text normalization
Source_Table,Upper normalize,Source_Table_upper,UPPER(CAST(Source_Table AS STRING)),Case normalization
Source_Table,Numeric bucket,Source_Table_bucket,CASE WHEN SAFE_CAST(Source_Table AS NUMERIC) IS NULL THEN 'UNKNOWN' WHEN SAFE_CAST(Source_Table AS NUMERIC) < 0 THEN 'NEG' WHEN SAFE_CAST(Source_Table AS NUMERIC) < 100 THEN 'LOW' WHEN SAFE_CAST(Source_Table AS NUMERIC) < 1000 THEN 'MED' ELSE 'HIGH' END,Binning
Source_Table,Month start,Source_Table_month_start,"DATE_TRUNC(SAFE_CAST(Source_Table AS DATE), MONTH)",Date truncation
Source_Table,Quarter label,Source_Table_qtr_label,"FORMAT_DATE('Q%q-%Y', SAFE_CAST(Source_Table AS DATE))",Presentation label
Source_Table,Safe ratio,Source_Table_ratio_to_Component,"SAFE_DIVIDE(SAFE_CAST(Source_Table AS NUMERIC), NULLIF(SAFE_CAST(Component AS NUMERIC), 0))",Ratio with zero protection
Source_Table,Row fingerprint (col),Source_Table_fp,TO_HEX(FARM_FINGERPRINT(CAST(Source_Table AS STRING))),Deterministic hash
Source_Table,Window lag delta,Source_Table_delta,SAFE_CAST(Source_Table AS NUMERIC) - LAG(SAFE_CAST(Source_Table AS NUMERIC)) OVER (PARTITION BY Scenario_ID ORDER BY Source_Table),Window: change vs previous
Source_Table,Rolling 30D sum,Source_Table_roll30,SUM(SAFE_CAST(Source_Table AS NUMERIC)) OVER (PARTITION BY Scenario_ID ORDER BY TXN_TIMESTAMP RANGE BETWEEN INTERVAL 30 DAY PRECEDING AND CURRENT ROW),Window: 30-day rolling sum
Source_Table,JSON scalar extract,Source_Table_json_val,"JSON_VALUE(CAST(Source_Table AS STRING), '$.value')",Read scalar from JSON
Source_Table,Digits only,Source_Table_digits,"REGEXP_REPLACE(CAST(Source_Table AS STRING), r'[^0-9]', '')",Strip non-digits
Source_Table,Duplicate flag,Source_Table_dup_flag,"IF(ROW_NUMBER() OVER (PARTITION BY Scenario_ID, Source_Table ORDER BY Source_Table) > 1, 1, 0)",Duplicate detector
Source_Table,Winsorize (P5/P95),Source_Table_winsor,"LEAST(PERCENTILE_CONT(SAFE_CAST(Source_Table AS NUMERIC), 0.95) OVER (PARTITION BY Scenario_ID), GREATEST(PERCENTILE_CONT(SAFE_CAST(Source_Table AS NUMERIC), 0.05) OVER (PARTITION BY Scenario_ID), SAFE_CAST(Source_Table AS NUMERIC)))",Winsorize by group
Source_Table,Lookup latest (scalar subquery),Source_Table_latest_dim,(SELECT AS VALUE d.lookup_val FROM `project.dataset.dim_lookup` d WHERE d.key = CAST(Source_Table AS STRING) ORDER BY d.eff_dt DESC LIMIT 1),Scalar subquery lookup
Target_Project_Id,Safe cast numeric,Target_Project_Id_num,"COALESCE(SAFE_CAST(Target_Project_Id AS NUMERIC), 0)",Type safety; numeric fallback 0
Target_Project_Id,Trim & collapse blanks,Target_Project_Id_trim,"NULLIF(REGEXP_REPLACE(TRIM(CAST(Target_Project_Id AS STRING)), r'\s+', ' '), '')",Text normalization
Target_Project_Id,Upper normalize,Target_Project_Id_upper,UPPER(CAST(Target_Project_Id AS STRING)),Case normalization
Target_Project_Id,Numeric bucket,Target_Project_Id_bucket,CASE WHEN SAFE_CAST(Target_Project_Id AS NUMERIC) IS NULL THEN 'UNKNOWN' WHEN SAFE_CAST(Target_Project_Id AS NUMERIC) < 0 THEN 'NEG' WHEN SAFE_CAST(Target_Project_Id AS NUMERIC) < 100 THEN 'LOW' WHEN SAFE_CAST(Target_Project_Id AS NUMERIC) < 1000 THEN 'MED' ELSE 'HIGH' END,Binning
Target_Project_Id,Month start,Target_Project_Id_month_start,"DATE_TRUNC(SAFE_CAST(Target_Project_Id AS DATE), MONTH)",Date truncation
Target_Project_Id,Quarter label,Target_Project_Id_qtr_label,"FORMAT_DATE('Q%q-%Y', SAFE_CAST(Target_Project_Id AS DATE))",Presentation label
Target_Project_Id,Safe ratio,Target_Project_Id_ratio_to_Component,"SAFE_DIVIDE(SAFE_CAST(Target_Project_Id AS NUMERIC), NULLIF(SAFE_CAST(Component AS NUMERIC), 0))",Ratio with zero protection
Target_Project_Id,Row fingerprint (col),Target_Project_Id_fp,TO_HEX(FARM_FINGERPRINT(CAST(Target_Project_Id AS STRING))),Deterministic hash
Target_Project_Id,Window lag delta,Target_Project_Id_delta,SAFE_CAST(Target_Project_Id AS NUMERIC) - LAG(SAFE_CAST(Target_Project_Id AS NUMERIC)) OVER (PARTITION BY Scenario_ID ORDER BY Target_Project_Id),Window: change vs previous
Target_Project_Id,Rolling 30D sum,Target_Project_Id_roll30,SUM(SAFE_CAST(Target_Project_Id AS NUMERIC)) OVER (PARTITION BY Scenario_ID ORDER BY TXN_TIMESTAMP RANGE BETWEEN INTERVAL 30 DAY PRECEDING AND CURRENT ROW),Window: 30-day rolling sum
Target_Project_Id,JSON scalar extract,Target_Project_Id_json_val,"JSON_VALUE(CAST(Target_Project_Id AS STRING), '$.value')",Read scalar from JSON
Target_Project_Id,Digits only,Target_Project_Id_digits,"REGEXP_REPLACE(CAST(Target_Project_Id AS STRING), r'[^0-9]', '')",Strip non-digits
Target_Project_Id,Duplicate flag,Target_Project_Id_dup_flag,"IF(ROW_NUMBER() OVER (PARTITION BY Scenario_ID, Target_Project_Id ORDER BY Target_Project_Id) > 1, 1, 0)",Duplicate detector
